ID,Coordenadas X,Coordenadas Y,Longitud corregida,Latitud corregida,Sitio,árbol ID,Codigo SAU,Especie árbol,CAP1,CAP2,CAP3,CAP4,Altura copa,Altura total,Foto Árbol 2023,ID epífita,Nombre común,Nombre común actualizado,Familia,Especie epífita,Ubicación en el árbol,Altura planta,Mortalidad 1 (12-04-2016),Desaparicion 1,12/04/16,Mortalidad 2 (12-05-2016),Desaparicion 2,12/05/16,Mortalidad 3 (16-06-2016),Desaparicion 3,42537,Mortalidad 4 (18-09-2016),Desaparicion 4,42631,Mortalidad (05-2017),Desaparicion (05-2017),42856,Mortalidad (06-2017),Desaparición (06-2017),42887,Mortalidad 7 (12-2017),Desaparición 7 (12-2017),43070,Mortalidad 8 (05/02/2018),Desaparición 8 (05/02/2018),43136,Mortalidad 9 (12/07/2018),Desaparición 9 (12/07/2018),43293,Mortalidad 10 (12/12/2018),Desaparición 10 (12/12/2018),43446,45108,nuevas hojas 1,nuevas hojas 2,nuevas hojas 3,nuevas hojas  4,Nuevas hojas (05-2017),Nuevas hojas (06-2017),Nuevas hojas (12-2017),Nuevas hojas (05/02/2018),Nuevas hojas (12/07/2018),Nuevas Hojas 112/12/2018,nuevas raices 1,nuevas raices 2,nuevas raices 3,nuevas raices 4,Nuevas raices (05-2017),Nuevas raíces (06-2017),Nuevas Raíces (12-2017),Nuevas Raíces (05/02/2018),Nuevas Raíces (12/07/2018),Nuevas Raices 12/12/2018,Estado fitosanitario 1,Estado Fitosanitario 2,Estado Fitosanitario 3,Estado Fitosanitario 4,Estado fitosanitario (05-2017),Estado fitosanitario (06-2017),Estado Fitosanitario (12-2017),Estado Fitosanitario (05/02/2018),Estado Fitosanitario (12/07/2018),Estado fitosanitario 12/12/2018,floracion 1,floracion 2,floracion 3,floracion 4,Floracion (05-2017),Floración (06-2017),Floración (12-2017),Floración (5/02/2018),Floración (12/07/2018),Floración 12/12/2018,fructificacion 1,fructificacion 2,fructificacion 3,fructificacion 4,Fructificacion (05-2017),Fructificación (06-2017),Fructificación (12-2017),Fructificación (05/02/2018),Fructificación (12/07/2018),Frutificación 12/12/2018,Observaciones 12/12/2018,Desaparecido/ muerto 2023,Estado fitosanitario 2023,Fenología 2023,Número de hojas/tallos/ clones 2023,Foto planta 2023,Observaciones 2023
232,-755.815,624.454,-75.5815,6.24454,Quebrada La Picacha,40,00111050002234,Ficus benjamina,318,193,191.4,104,6,13,8524,56,Salvini,Salvini,Araceae,Anthurium salvinii,fuste,3.1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,,1,1,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,-,,6,9,10,11,0,0,0,0,-,,si,si,si,Si,Bueno,Bueno,Bueno,Bueno,-,,Bueno,Bueno,Bueno,B,0,0,0,0,-,,,0,,1,0,0,0,0,-,,0,0,,0,,No,Bueno,Infertil,12,,
233,-755.815,624.454,-75.5815,6.24454,Quebrada La Picacha,40,00111050002234,Ficus benjamina,318,193,191.4,104,6,13,8524,225,Aechmea,Aechmea,Bromeliaceae,Aechmea fasciata,fuste,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,no,0,0,0,Bueno,Bueno,Regular,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,B,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,,0,,Si,,,,,
234,-755.815,624.454,-75.5815,6.24454,Quebrada La Picacha,40,00111050002234,Ficus benjamina,318,193,191.4,104,6,13,8524,289,Billbergia,Billbergia,Bromeliaceae,Billbergia nutans,rama externa,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,0,,,0,,,0,1,0,1,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,Bueno,Regular,Bueno,Bueno,Bueno,Bueno,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,Si,,,,,
235,-755.815,624.454,-75.5815,6.24454,Quebrada La Picacha,40,00111050002234,Ficus benjamina,318,193,191.4,104,6,13,8524,326,Cattleya,Cattleya,Orchidaceae,Cattleya sp.,fuste,3.2,0,0,0,0,0,0,0,0,0,0,1,1,-,-,0,,,0,,,0,,,0,,,0,,,0,1,0,0,0,0,-,,0,,,,0,0,0,0,-,,0,,,,Bueno,Bueno,Bueno,NA,-,,0,,,,0,0,0,0,-,,,,,,0,0,0,0,-,,0,,,,,Si,,,,,
236,-755.815,624.454,-75.5815,6.24454,Quebrada La Picacha,40,00111050002234,Ficus benjamina,318,193,191.4,104,6,13,8524,395,Schomburgia,Schomburgia,Orchidaceae,Laelia tigrina,fuste,3.7,0,0,0,0,0,0,0,0,0,0,1,1,-,-,0,,,0,,,0,,,0,,,0,,,0,1,0,0,0,0,-,,0,,,,0,0,0,0,-,,0,,,,Bueno,Bueno,Bueno,NA,-,,0,     ,,,0,0,0,0,-,,,,,,0,0,0,0,-,,0,,,,,Si,,,,,
237,-7.558.208,624.382,-75.5820702212334936,6.24396068345799904,Quebrada La Picacha,41,00111050590085,Ficus benjamina,294,161,,,8,15,8510,53,Salvini,Salvini,Araceae,Anthurium salvinii,fuste,3,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,,1,1,,0,0,0,0,0,0,,0,,0,0,1,0,1,0,0,-,,3,3,4,3,0,0,0,0,-,,si,0,si,0,Bueno,Bueno,Bueno,Bueno,-,,Bueno,Bueno,Bueno,B,0,0,0,0,-,,,0,,2,0,0,0,0,-,,0,0,,0,,Si,,,,,
238,-7.558.208,624.382,-75.5820702212334936,6.24396068345799904,Quebrada La Picacha,41,00111050590085,Ficus benjamina,294,161,,,8,15,8510,98,Salvini,Salvini,Araceae,Anthurium salvinii,fuste,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,1,1,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,3,0,6,6,9,10,0,1,1,0,si,0,si,si,si,Si,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,B,0,0,0,0,1,0,,0,,0,0,0,0,0,0,0,0,0,,0,,No,Bueno,Infertil,14,,
239,-7.558.208,624.382,-75.5820702212334936,6.24396068345799904,Quebrada La Picacha,41,00111050590085,Ficus benjamina,294,161,,,8,15,8510,108,Salvini,Salvini,Araceae,Anthurium salvinii,rama externa,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,1,1,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,3,0,4,3,7,6,0,0,0,0,si,0,si,si,si,0,Malo,Regular,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,B,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,,0,,No,Bueno,Infertil,8,,
240,-7.558.208,624.382,-75.5820702212334936,6.24396068345799904,Quebrada La Picacha,41,00111050590085,Ficus benjamina,294,161,,,8,15,8510,141,Salvini,Salvini,Araceae,Anthurium salvinii,rama externa,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,1,1,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,3,0,5,4,6,7,0,0,0,0,si,0,si,0,si,0,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,B,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,,0,,No,Bueno,Infertil,6,,
241,-7.558.208,624.382,-75.5820702212334936,6.24396068345799904,Quebrada La Picacha,41,00111050590085,Ficus benjamina,294,161,,,8,15,8510,175,Helecho espada,Helecho espada,Aspleniaceae,Asplenium cf. nidus,fuste,3.3,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,,,0,,,0,,,0,1,0,0,0,0,4,0,0,,,,0,0,0,0,si,0,0,,,,Bueno,NA,NA,NA,Bueno,Bueno,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,Si,,,,,
